CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year,lag_1w,lag_2w,lag_3w,lag_4w,lag_8w,roll_4w_mean,roll_8w_mean,roll_4w_std
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,6.0,2022-12-19,2022-12-25,2022,12,51,2.0,3.0,2.0,3.0,1.0,2.5,1.875,0.5773502691896261
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-12-26,2023-01-01,2022,12,52,6.0,2.0,3.0,2.0,1.0,3.25,2.5,1.8929694486000912
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,4.0,2023-01-02,2023-01-08,2023,1,1,2.0,6.0,2.0,3.0,2.0,3.25,2.625,1.8929694486000912
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2023-01-09,2023-01-15,2023,1,2,4.0,2.0,6.0,2.0,1.0,3.5,2.875,1.9148542155126762
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2023-01-16,2023-01-22,2023,1,3,2.0,4.0,2.0,6.0,3.0,3.5,3.0,1.9148542155126762
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2023-01-30,2023-02-05,2023,1,5,2.0,2.0,4.0,2.0,2.0,2.5,2.875,0.9999999999999998
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2023-02-06,2023-02-12,2023,2,6,1.0,2.0,2.0,4.0,3.0,2.25,2.75,1.2583057392117916
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,5.0,2023-02-13,2023-02-19,2023,2,7,1.0,1.0,2.0,2.0,2.0,1.5,2.5,0.5773502691896253
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,3.0,2023-02-20,2023-02-26,2023,2,8,5.0,1.0,1.0,2.0,6.0,2.25,2.875,1.892969448600091
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2023-02-27,2023-03-05,2023,2,9,3.0,5.0,1.0,1.0,2.0,2.5,2.5,1.914854215512676
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2023-03-06,2023-03-12,2023,3,10,1.0,3.0,5.0,1.0,4.0,2.5,2.375,1.914854215512676
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2023-03-13,2023-03-19,2023,3,11,2.0,1.0,3.0,5.0,2.0,2.75,2.125,1.707825127659933
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,3.0,2023-03-20,2023-03-26,2023,3,12,1.0,2.0,1.0,3.0,2.0,1.75,2.0,0.9574271077563378
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2023-03-27,2023-04-02,2023,3,13,3.0,1.0,2.0,1.0,1.0,1.75,2.125,0.9574271077563378
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,4.0,2023-04-03,2023-04-09,2023,4,14,2.0,3.0,1.0,2.0,1.0,2.0,2.25,0.8164965809277257
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,4.0,2023-04-24,2023-04-30,2023,4,17,4.0,2.0,3.0,1.0,5.0,2.5,2.625,1.2909944487358054
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2023-05-01,2023-05-07,2023,5,18,4.0,4.0,2.0,3.0,3.0,3.25,2.5,0.9574271077563378
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2023-05-08,2023-05-14,2023,5,19,1.0,4.0,4.0,2.0,1.0,2.75,2.25,1.4999999999999998
