CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2023-02-13,2023-02-19,2023,2,7
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,5.0,2023-02-20,2023-02-26,2023,2,8
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-02-27,2023-03-05,2023,2,9
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,7.0,2023-03-06,2023-03-12,2023,3,10
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,8.0,2023-03-13,2023-03-19,2023,3,11
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,7.0,2023-03-20,2023-03-26,2023,3,12
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-03-27,2023-04-02,2023,3,13
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-04-10,2023-04-16,2023,4,15
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-04-17,2023-04-23,2023,4,16
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-04-24,2023-04-30,2023,4,17
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-05-01,2023-05-07,2023,5,18
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-05-08,2023-05-14,2023,5,19
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-05-22,2023-05-28,2023,5,21
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-05-29,2023-06-04,2023,5,22
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-06-05,2023-06-11,2023,6,23
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-06-19,2023-06-25,2023,6,25
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-07-03,2023-07-09,2023,7,27
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-07-10,2023-07-16,2023,7,28
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-07-17,2023-07-23,2023,7,29
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2023-07-24,2023-07-30,2023,7,30
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-07-31,2023-08-06,2023,7,31
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-08-14,2023-08-20,2023,8,33
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-08-21,2023-08-27,2023,8,34
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-09-04,2023-09-10,2023,9,36
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,5.0,2023-09-11,2023-09-17,2023,9,37
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-09-18,2023-09-24,2023,9,38
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-09-25,2023-10-01,2023,9,39
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-10-09,2023-10-15,2023,10,41
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-10-16,2023-10-22,2023,10,42
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-11-13,2023-11-19,2023,11,46
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-11-20,2023-11-26,2023,11,47
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-12-11,2023-12-17,2023,12,50
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-12-18,2023-12-24,2023,12,51
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2024-01-01,2024-01-07,2024,1,1
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2024-01-15,2024-01-21,2024,1,3
5AA080063,EOSINE DEZENFEKT SPRAY F FL 30ML SPRAY (,1.0,1.0,2022-07-25,2022-07-31,2022,7,30
5AA080063,EOSINE DEZENFEKT SPRAY F FL 30ML SPRAY (,1.0,1.0,2022-08-01,2022-08-07,2022,8,31
5AA080063,EOSINE DEZENFEKT SPRAY F FL 30ML SPRAY (,1.0,1.0,2022-10-10,2022-10-16,2022,10,41
5AA080063,EOSINE DEZENFEKT SPRAY F FL 30ML SPRAY (,1.0,3.0,2023-11-13,2023-11-19,2023,11,46
5AA080067,BAITANET D 120 ML  SOLUTIO (01),1.0,10.0,2024-01-22,2024-01-28,2024,1,4
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-06-06,2022-06-12,2022,6,23
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-06-27,2022-07-03,2022,6,26
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-09-19,2022-09-25,2022,9,38
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,2.0,2022-10-17,2022-10-23,2022,10,42
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,2.0,2022-10-31,2022-11-06,2022,10,44
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-11-14,2022-11-20,2022,11,46
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-11-28,2022-12-04,2022,11,48
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-12-12,2022-12-18,2022,12,50
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-12-26,2023-01-01,2022,12,52
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-01-02,2023-01-08,2023,1,1
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-01-23,2023-01-29,2023,1,4
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-02-13,2023-02-19,2023,2,7
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-02-20,2023-02-26,2023,2,8
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-02-27,2023-03-05,2023,2,9
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-03-20,2023-03-26,2023,3,12
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,2.0,2023-05-29,2023-06-04,2023,5,22
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-08-28,2023-09-03,2023,8,35
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-09-11,2023-09-17,2023,9,37
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-10-23,2023-10-29,2023,10,43
